0	sns	host	domain	text	width	tcolor	bcolor	scolor	bicon	sicon	eicon	iicon	url	entry	exity	icon
101	1	ika.queloud.net	queloud.net											20170415T141500Z		data:image/webp;base64,UklGRvAAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJEAAAABgGpb27LowaF6dIfsegFEOovGIrk0m4lWp7nPdHdNnjS6u8uLX0NETAAA9FGEBbFFzEBt/nNTphygAWkN27Hy3jlMRGEWoChOHvxQ7Zacq4hR41+Tdn69iZ9c2+93M+kvavrto7mL0uL+VaP7CFTW7katAgDBC6LT9udr8gCAco7oJFCaIH8NI3RJR0JFtEsHAFZQOCA4AAAAcAEAnQEqDgAOAAmAsiWwAnQAAAAA/nGYlmgWMhqGo8rWMngtOYgvkzTFC46zNONOOOJjQ+LdeAA=
102	1	svrdn.drillion.net	drillion.net											20170415T142400Z		
103	1	mastodon.nekomimi.jp	nekomimi.jp											20170415T142447Z		
104																
105																
106	1	mstdn.hokkaido.jp	hokkaido.jp	北海丼 (北海道)			#383	#383					https://ja.mstdn.wiki/?curid=397	20170415T150000Z		
107	1	mastodon.diglateam3.com	diglateam3.com											20170415T160100Z		
108	1	mstdn.ht164.jp	ht164.jp											20170415T164900Z		
109	1	mastodon.niu.ne.jp	niu.ne.jp											20170415T170300Z		
110	1	mstdn.taiha.net	taiha.net											20170415T190800Z		
111	1	mdn.hinaloe.net	hinaloe.net											20170415T195700Z		
112	1	gamecreate.mstdn.cloud	mstdn.cloud										https://ja.mstdn.wiki/?curid=1372	20170416T031600Z	20210714T131451Z	
113	1	mastodon.chotto.moe	chotto.moe						#fff					20170416T053100Z		data:image/webp;base64,UklGRgIBAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSMMAAAABgGtb2zHnHbtS5+lmYtu2zcq2bV9AStvobLt1KtvJW2WuISImAP4nOTg5RqvAa+9Z3FOBkpfe6gggcI30kgCAe2kkh2w7vDS5MB0Cit6LWX2z5TYLdaOqLU+/L/zL6OkTulf4iBrGsxFvPU4C7FcHNlMMj+YRyzhXVm4r4QmzuifviIGE4xRubrrvTvAr4qsVVC3pArH8aOYXcUYOZgtrRfWXz3+I15FkqD7+fXr9/fn52IlmAQg1XGOyi0szPKRUAAAAVlA4IBgAAAAwAQCdASoOAA4AD8D+JaQAA3AA/ua1AAA=
114	1	mstdn.haun.jp	haun.jp											20170416T055500Z		
115	1	mstdn.poyo.me	poyo.me										https://ja.mstdn.wiki/?curid=509	20170416T060500Z		
116	1	unnerv.jp	unnerv.jp				#e12	#e12					https://ja.mstdn.wiki/?curid=516	20170416T081400Z		
117	1	t.aqn.jp	aqn.jp											20170416T084500Z		
118	1	mstdn.soysoftware.net	soysoftware.net											20170416T101800Z		
119	1	mstdn.guru	mstdn.guru				#253	#253					https://ja.mstdn.wiki/?curid=2312	20170416T104800Z		
120	1	mastodon.potproject.net	potproject.net											20170416T111100Z		
121	1	vocalodon.net	vocalodon.net				#399	#399	transparent				https://ja.mstdn.wiki/?curid=479	20170416T130800Z		data:image/webp;base64,UklGRjoAAABXRUJQVlA4IC4AAACQAQCdASoOAA4ACECmJagCdABtcAAA9wQmLpddR+43txDhlLdzh2uzDCckYAAA
122	1	otoya.space	otoya.space										https://ja.mstdn.wiki/?curid=478	20170416T131400Z		
123	1	mstdn.osaka	mstdn.osaka	大阪丼			#383	#383					https://ja.mstdn.wiki/?curid=408	20170416T141900Z		
124																
125																
126																
127	1	doll.social	doll.social									素材:いらすとや		20170416T181700Z		data:image/webp;base64,UklGRjgBAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSCoAAAABDzD/ERFCTdtI0m793EAY/iwOykKY8r72OET0PyYagvgvLjw+dsiXLwNWUDgg6AAAAJAEAJ0BKhAAEAABwCwlsAJ0ugFEA/oDzAP1A6xb9mf2A9nomVzEkgy3iTg2uAD+r5ChyKzsCnvLOk28XGy7XJuH1dlcC7Y/imo/mDHlP9PbFp0/0XR/FrknXFyJz7M9z/S6JBSWiMvP1ZWtUUuhFDpzelp+ps1sj5h/PDGgq4uOoK7GRmdnx+6zeSHNUas5pc9Xb/+e/8tyYw/6f3CVpeGp7GN68F+cDfzouIt3D7o3/Uv5fTsQnuKGf1D3/9yobVVONVMcyt6f8OOkq41AfML1TSyVCxhSf0/P8yuiB+vjd9W7mOAAAAA=
