[0] #InstanceTicker (Type-1) Ver.201903050014.tsv - (c)weepjp (c)kyori19 MIT License.	[1] ScreenName	[2] DomainName	[3] FontColor	[4] BackGroundColor	[5] ImgPath	[6] ImgWidth	[7] ImgLicense	[8] WikiURL	[9] UsersVoiceURL	[10] ImgLicenseURL	[11] AdminsVoiceURL	[12] Missingno.12	[13] Missingno.13
1	mastodon.motcha.tech	mastodon.motcha.tech	#fff	#26a	https://wee.jp/f/mastodon.motcha.tech	18	(favicon.ico)	https://ja.mstdn.wiki/Mastodon.motcha.tech					
1	mastodon.crazynewworld.net	mastodon.crazynewworld.net	#fff	#26a	https://wee.jp/f/mastodon.crazynewworld.net	18	(favicon.ico)						
1	yakumo.foundation	yakumo.foundation	#fff	#26a	https://wee.jp/f/yakumo.foundation	18	(favicon.ico)						
1	tsuki.network	tsuki.network	#fff	#26a	https://wee.jp/f/tsuki.network	18	(favicon.ico)						
1	pso2.club	pso2.club	#fff	#26a	https://wee.jp/f/pso2.club	18	(favicon.ico)						
1	mstdn.awa.sfc.keio.ac.jp	mstdn.awa.sfc.keio.ac.jp	#fff	#26a	https://wee.jp/f/mstdn.awa.sfc.keio.ac.jp	18	(favicon.ico)	https://ja.mstdn.wiki/Mstdn.awa.sfc.keio.ac.jp					
1	utodon.jp	utodon.jp	#fff	#26a	https://wee.jp/f/utodon.jp	18	(favicon.ico)	https://ja.mstdn.wiki/UTodon					
1	taruntarun.net	taruntarun.net	#fff	#26a	https://wee.jp/f/taruntarun.net	18	(favicon.ico)						
1	💌私信	si.pmpm.pw	#000	#fff,#fff	https://wee.jp/f/si.pmpm.pw	18	(favicon.ico)				https://archive.fo/mJSSm		
1	raptol.net	raptol.net	#fff	#26a	https://wee.jp/f/raptol.net	18	(favicon.ico)						
1	mast.moe	mast.moe	#fff	#26a	https://wee.jp/f/mast.moe	18	(favicon.ico)						
1	momoiro9.ro	momoiro9.ro	#fff	#26a	https://wee.jp/f/momoiro9.ro	18	(favicon.ico)						
1	social.hideo54.com	social.hideo54.com	#fff	#26a	https://wee.jp/f/social.hideo54.com	18	(favicon.ico)						
1	under-bank.blue	under-bank.blue	#fff	#26a	https://wee.jp/f/under-bank.blue	18	(favicon.ico)						
1	raspidon.mamemo.online	raspidon.mamemo.online	#fff	#26a	https://wee.jp/f/raspidon.mamemo.online	18	(favicon.ico)						
1	sukebeneko.com	sukebeneko.com	#fff	#26a	https://wee.jp/f/sukebeneko.com	18	(favicon.ico)						
1	vocalodon.net	vocalodon.net	#fff	#488,#399	https://wee.jp/f/vocalodon.net	18	(favicon.ico)	https://ja.mstdn.wiki/Vocalodon					
1	mstdn.tomokiwakimoto.com	mstdn.tomokiwakimoto.com	#fff	#26a	https://wee.jp/f/mstdn.tomokiwakimoto.com	18	(favicon.ico)						
1	39sounds.net	39sounds.net	#fff	#26a	https://wee.jp/f/39sounds.net	18	(favicon.ico)						
1	mikumikudance.cloud	mikumikudance.cloud	#fff	#26a	https://wee.jp/f/mikumikudance.cloud	18	(favicon.ico)	https://ja.mstdn.wiki/Mikumikudance.cloud					
1	iguanodon.net	iguanodon.net	#fff	#26a	https://wee.jp/f/iguanodon.net	18	(favicon.ico)						
1	ertona.net	ertona.net	#fff	#26a	https://wee.jp/f/ertona.net	18	(favicon.ico)						
1	alserver.jp	alserver.jp	#fff	#26a	https://wee.jp/f/alserver.jp	18	(favicon.ico)						
1	msdnaart.net	msdnaart.net	#fff	#26a	https://wee.jp/f/msdnaart.net	18	(favicon.ico)	https://ja.mstdn.wiki/Msdnaart.net					
1	don.mamemo.online	don.mamemo.online	#fff	#26a	https://wee.jp/f/don.mamemo.online	18	(favicon.ico)						
1	mastodon.lithium03.info	mastodon.lithium03.info	#fff	#26a	https://wee.jp/f/mastodon.lithium03.info	18	(favicon.ico)						
