[0] #InstanceTicker (Type-0) Ver.201912081130.tsv - Fedplaset is (c)weepjp  MIT License.	ScreenName	ServerName	FontColor	BGColor	ImgPath	ImgWidth	ImgLicense	WikiURL	ID	ImgLicenseURL	AdminsVoiceURL	no12	no13
1	ma.fono.jp	ma.fono.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		96				
1	foresdon.jp	foresdon.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Foresdon.jp	97				
1	friends.cafe	friends.cafe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		98				
1	mstdn.fujii-yuji.net	mstdn.fujii-yuji.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		99				
1	mastodon.fujita.style	mastodon.fujita.style	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		859				
1	ふくおかどん	mstdn.fukuoka.jp	#fff	#383	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Mstdn.fukuoka.jp	100				
1	mstdn.futaba-works.com	mstdn.futaba-works.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		101				
1	mstdn.fuyumori.net	mstdn.fuyumori.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		102				
1	zenyasai.g-fukurowl.club	zenyasai.g-fukurowl.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		813				
1	gamelinks007.net	gamelinks007.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Creatodon	103				
1	garakuta.online	garakuta.online	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		104				
1	gensokyo.town	gensokyo.town	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Gensokyo.town	105				
1	gensousakuya.moe	gensousakuya.moe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		106				
1	md.ggtea.org	md.ggtea.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		107				
1	gingadon.com	gingadon.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/%E9%8A%80%E6%B2%B3%E4%B8%BC	108				
1	gla.fit	gla.fit	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		109				
1	mstdn.glorificatio.org	mstdn.glorificatio.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		110				
1	gnosia.info	gnosia.info	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		111				
1	gochisou.photo	gochisou.photo	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		112				
1	goisgod.com	goisgod.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		810				
1	don.gomasy.jp	don.gomasy.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		113				
1	gonta.net	gonta.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		845				
1	gorone.xyz	gorone.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		114				
1	mini.gorone.xyz	mini.gorone.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		115				
1	mstdn.gtn-works.com	mstdn.gtn-works.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		116				
1	グンマストドン (群馬)	gunmastodon.com	#fff	#383	https://wee.jp/i/1.png	18	代替icon		798				
1	mstdn.h3z.jp	mstdn.h3z.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		117				
1	social.mikutter.hachune.net	social.mikutter.hachune.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Social.mikutter.hachune.net	39				
1	はこます！	hakomas.cf	#000	#9fd	https://wee.jp/o/hakomas.png	17	管理者提出		119	https://archive.fo/xVAZ4	https://archive.fo/xVAZ4		
1	hakorena.net	hakorena.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		120				
1	handon.club	handon.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/%E3%81%AF%E3%82%93%E3%83%89%E3%83%B3%E3%82%AF%E3%83%A9%E3%83%96	121				
1	mstdn.haun.jp	mstdn.haun.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		122				
1	hearthtodon.com	hearthtodon.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Hearthtodon	123				
1	heislandmine.work	heislandmine.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		124				
